,Name,developers_publishers,genre,category,release_date,price,owners,followers,playtime_total
0,['tetris effect: connected'],"['Stage Games', 'Enhance']","['Casual', 'Indie']"," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing","Aug 17, 2021",$39.99,"200,000 .. 500,000","14,663",23:15 (average) 29:33 (median)
1,['chicory: a colorful tale'],"['A Shell in the Pit', 'Finji']","['Indie', 'RPG']"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing","Jun 10, 2021",$19.99,"100,000 .. 200,000","10,504",03:55 (average) 07:31 (median)
2,['opus: echo of starsong - full bloom edition'],"['SIGONO INC.', 'SIGONO INC.']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Family Sharing","Aug 31, 2021",$24.99,"200,000 .. 500,000","27,588",09:36 (average) 08:20 (median)
3,['psychonauts 2'],"['Double Fine Productions', 'Xbox Game Studios']","['Action', 'Adventure']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing","Aug 24, 2021",$59.99,"200,000 .. 500,000","37,393",04:35 (average) 05:37 (median)
4,['it takes two'],"['Hazelight', 'Electronic Arts']","['Action', 'Adventure']"," Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together","Mar 25, 2021",$39.99,"5,000,000 .. 10,000,000","442,068",16:26 (average) 13:47 (median)
5,['ragnarock'],"['WanadevStudio', 'WanadevStudio']","['Casual', 'Indie']"," Single-player, Multi-player, PvP, Online PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Tracked Controller Support, VR Supported, In-App Purchases, Partial Controller Support, Remote Play Together, Family Sharing","Jul 15, 2021",$24.99,"100,000 .. 200,000","8,354",01:50 (average) 02:19 (median)
6,['mini motorways'],"['Dinosaur Polo Club', 'Dinosaur Polo Club']","['Simulation', 'Strategy']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing","Jul 20, 2021",$8.49,"500,000 .. 1,000,000","34,926",10:24 (average) 03:58 (median)
7,['deathloop'],"['Arkane Studios', 'Bethesda Softworks']","['Fr', 'Action']"," Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, HDR available, Family Sharing","Sep 13, 2021",$59.99,"1,000,000 .. 2,000,000","87,743",19:59 (average) 17:27 (median)
8,['blind drive'],"['Lo-Fi People', 'Lo-Fi People']","['Action', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","Mar 10, 2021",$9.99,"0 .. 20,000","1,102",01:26 (average) 01:26 (median)
9,['the last friend'],"['Ludus Games', 'Skystone Games']","['Indie', 'Strategy']"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play Together, Family Sharing","Sep 30, 2021",$14.99,"0 .. 20,000","1,142",
10,['cook-out'],"['Resolution Games', 'Resolution Games']","['Indie', 'Simulation']"," Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Only, Steam Cloud, Steam Leaderboards, Family Sharing","Apr 20, 2021",$19.99,"0 .. 20,000",947,01:50 (average) 03:22 (median)
11,['lacuna – a sci-fi noir adventure'],"['WhisperGames', 'Mayflower Entertainment']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing","May 20, 2021",$15.99,"500,000 .. 1,000,000","7,729",03:41 (average) 03:12 (median)
12,['wildermyth'],"['Worldwalker Games LLC', 'WhisperGames']","['Strategy', 'in Early Access']"," Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Includes level editor, Remote Play Together, Family Sharing","Jun 15, 2021 (previously",$24.99,"500,000 .. 1,000,000","82,718",11:44 (average) 05:57 (median)
13,['ender lilies: quietus of the knights'],"['Adglobe', 'Binary Haze Interactive']","['RPG', 'in Early Access']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","Jun 21, 2021 (previously",$24.99,"500,000 .. 1,000,000","100,422",07:36 (average) 08:32 (median)
14,['f1 2021'],"['Codemasters', 'Electronic Arts']","['Simulation', 'Sports']"," Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Workshop, In-App Purchases, Steam Cloud","Jul 15, 2021",,"1,000,000 .. 2,000,000","42,154",106:41 (average) 48:19 (median)
15,['nioh 2 – the complete edition'],"['KOEI TECMO GAMES CO., LTD.', 'KOEI TECMO GAMES CO., LTD.']","['Action', 'RPG']"," Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, HDR available, Family Sharing","Feb 5, 2021",$49.99,"1,000,000 .. 2,000,000","98,334",95:35 (average) 29:18 (median)
16,['mass effect legendary edition'],"['BioWare', 'Electronic Arts']","['Action', 'RPG']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV","May 14, 2021",$59.99,"1,000,000 .. 2,000,000","119,031",56:47 (average) 19:41 (median)
17,['huntdown'],"['Easy Trigger Games', 'Coffee Stain Publishing']","['Action', 'Indie']"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing","May 12, 2021",$19.99,"100,000 .. 200,000","14,559",04:22 (average) 04:59 (median)
18,['the forgotten city'],"['Modern Storyteller', 'Dear Villagers']","['Indie', 'RPG']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Jul 28, 2021",$24.99,"200,000 .. 500,000","37,858",07:05 (average) 09:46 (median)
19,"[""death's door""]","['Acid Nerve', 'Devolver Digital']","['Indie', 'RPG']"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Jul 20, 2021",$19.99,"500,000 .. 1,000,000","62,188",11:52 (average) 10:29 (median)
20,['football manager 2022'],"['Sports Interactive', 'SEGA']","['Simulation', 'Sports']"," Single-player, Multi-player, Steam Achievements, Steam Cloud","Nov 9, 2021",,"2,000,000 .. 5,000,000","48,698",293:49 (average) 268:32 (median)
21,['guilty gear -strive-'],"['Arc System Works', 'Arc System Works']","['Fr', 'Action']"," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing","Jun 11, 2021",$19.99,"1,000,000 .. 2,000,000","93,580",137:37 (average) 19:49 (median)
22,['atelier ryza 2: lost legends & the secret fairy'],"['KOEI TECMO GAMES CO., LTD.', 'KOEI TECMO GAMES CO., LTD.']","['Fr', 'RPG']"," Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Family Sharing","Jan 25, 2021",$59.99,"200,000 .. 500,000","46,027",40:17 (average) 44:57 (median)
23,['heavenly bodies'],"['2pt Interactive', '2pt Interactive']","['Indie', 'Simulation']"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing","Dec 7, 2021",$19.99,"200,000 .. 500,000","15,903",05:50 (average) 03:17 (median)
24,['griftlands'],"['Klei Entertainment', 'Klei Entertainment']","['Indie', 'in Early Access']"," Single-player, Steam Workshop, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Family Sharing","Jun 1, 2021 (previously",$19.99,"500,000 .. 1,000,000","57,604",20:01 (average) 11:55 (median)
