,Unnamed: 0,Name,Genre,Category,Release_Date,Price (in $),Owners,Followers,Developers,Publishers
0,0,Tetris effect: connected,"Casual, Indie"," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing",2021-08-17,39.99,"200,000 - 500,000","14,663",Stage Games,Enhance
1,1,Chicory: a colorful tale,"Indie, RPG"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",2021-06-10,19.99,"100,000 - 200,000","10,504",A Shell in the Pit,Finji
2,2,Opus: echo of starsong - full bloom edition,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Family Sharing",2021-08-31,24.99,"200,000 - 500,000","27,588",SIGONO INC.,SIGONO INC.
3,3,Psychonauts 2,"Action, Adventure"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",2021-08-24,59.99,"200,000 - 500,000","37,393",Double Fine Productions,Xbox Game Studios
4,4,It takes two,"Action, Adventure"," Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together",2021-03-25,39.99,"5,000,000 - 10,000,000","442,068",Hazelight,Electronic Arts
5,5,Ragnarock,"Casual, Indie"," Single-player, Multi-player, PvP, Online PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Tracked Controller Support, VR Supported, In-App Purchases, Partial Controller Support, Remote Play Together, Family Sharing",2021-07-15,24.99,"100,000 - 200,000","8,354",WanadevStudio,WanadevStudio
6,6,Mini motorways,"Simulation, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing",2021-07-20,8.49,"500,000 - 1,000,000","34,926",Dinosaur Polo Club,Dinosaur Polo Club
7,7,Deathloop,"Fr, Action"," Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, HDR available, Family Sharing",2021-09-13,59.99,"1,000,000 - 2,000,000","87,743",Arkane Studios,Bethesda Softworks
8,8,Blind drive,"Action, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",2021-03-10,9.99,"0 - 20,000","1,102",Lo-Fi People,Lo-Fi People
9,9,The last friend,"Indie, Strategy"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play Together, Family Sharing",2021-09-30,14.99,"0 - 20,000","1,142",Ludus Games,Skystone Games
10,10,Cook-out,"Indie, Simulation"," Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Only, Steam Cloud, Steam Leaderboards, Family Sharing",2021-04-20,19.99,"0 - 20,000",947,Resolution Games,Resolution Games
11,11,Lacuna – a sci-fi noir adventure,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing",2021-05-20,15.99,"500,000 - 1,000,000","7,729",WhisperGames,Mayflower Entertainment
12,12,Wildermyth,"Strategy, in Early Access"," Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Includes level editor, Remote Play Together, Family Sharing",,24.99,"500,000 - 1,000,000","82,718",Worldwalker Games LLC,WhisperGames
13,13,Ender lilies: quietus of the knights,"RPG, in Early Access"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",,24.99,"500,000 - 1,000,000","100,422",Adglobe,Binary Haze Interactive
14,15,Nioh 2 – the complete edition,"Action, RPG"," Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, HDR available, Family Sharing",2021-02-05,49.99,"1,000,000 - 2,000,000","98,334",KOEI TECMO GAMES CO.,LTD.
15,16,Mass effect legendary edition,"Action, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV",2021-05-14,59.99,"1,000,000 - 2,000,000","119,031",BioWare,Electronic Arts
16,17,Huntdown,"Action, Indie"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing",2021-05-12,19.99,"100,000 - 200,000","14,559",Easy Trigger Games,Coffee Stain Publishing
17,18,The forgotten city,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-07-28,24.99,"200,000 - 500,000","37,858",Modern Storyteller,Dear Villagers
18,19,Death's door,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2021-07-20,19.99,"500,000 - 1,000,000","62,188",Acid Nerve,Devolver Digital
19,21,Guilty gear -strive-,"Fr, Action"," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",2021-06-11,19.99,"1,000,000 - 2,000,000","93,580",Arc System Works,Arc System Works
20,22,Atelier ryza 2: lost legends & the secret fairy,"Fr, RPG"," Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Family Sharing",2021-01-25,59.99,"200,000 - 500,000","46,027",KOEI TECMO GAMES CO.,LTD.
21,23,Heavenly bodies,"Indie, Simulation"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",2021-12-07,19.99,"200,000 - 500,000","15,903",2pt Interactive,2pt Interactive
